,countryTwo,name,countryOne,type
0,BOTSWANA,Bray,South Africa,Land
1,BOTSWANA,Derdepoort,South Africa,Land
2,BOTSWANA,Groblersbrug,South Africa,Land
3,BOTSWANA,Kopfontein,South Africa,Land
4,BOTSWANA,Makopong,South Africa,Land
5,BOTSWANA,Makgobistad,South Africa,Land
6,BOTSWANA,McCarthy's Rest,South Africa,Land
7,BOTSWANA,Middelputs,South Africa,Land
8,BOTSWANA,Platjan,South Africa,Land
9,BOTSWANA,Pontdrift,South Africa,Land
10,BOTSWANA,Ramatlabama,South Africa,Land
11,BOTSWANA,Skilpadshek,South Africa,Land
12,BOTSWANA,Stockpoort,South Africa,Land
13,BOTSWANA,Swartkopfontein,South Africa,Land
14,BOTSWANA,Twee Riviren,South Africa,Land
15,BOTSWANA,Zanzibar,South Africa,Land
16,LESOTHO,Boesmansnek,South Africa,Land
17,LESOTHO,Caledonspoort,South Africa,Land
18,LESOTHO,Ficksburg Bridge,South Africa,Land
19,LESOTHO,Makhaleng Bridge,South Africa,Land
20,LESOTHO,Maseru Bridge,South Africa,Land
21,LESOTHO,Monantsa Pass,South Africa,Land
22,LESOTHO,Ongeluksnek,South Africa,Land
23,LESOTHO,Peka Bridge,South Africa,Land
24,LESOTHO,Quacha's Nek,South Africa,Land
25,LESOTHO,Ramatsilitso,South Africa,Land
26,LESOTHO,Sani Pass,South Africa,Land
27,LESOTHO,Sepapus Gate,South Africa,Land
28,LESOTHO,Tele Bridge,South Africa,Land
29,LESOTHO,Van Rooyens Gate,South Africa,Land
30,MOZAMBIQUE,Giriyondo,South Africa,Land
31,MOZAMBIQUE,Lebombo,South Africa,Land
32,MOZAMBIQUE,Kosi Bay,South Africa,Land
33,MOZAMBIQUE,Pafuri,South Africa,Land
34,NAMIBIA,Alexander Bay,South Africa,Land
35,NAMIBIA,Gemsbok,South Africa,Land
36,NAMIBIA,Nakop,South Africa,Land
37,NAMIBIA,Onseepkans,South Africa,Land
38,NAMIBIA,Rietfontein,South Africa,Land
39,NAMIBIA,Sendelingsdrift,South Africa,Land
40,NAMIBIA,Vioolsdrift,South Africa,Land
41,SWAZILAND,Bothashoop,South Africa,Land
42,SWAZILAND,Emahlathini,South Africa,Land
43,SWAZILAND,Golela,South Africa,Land
44,SWAZILAND,Jeppes Reef,South Africa,Land
45,SWAZILAND,Josephsdal,South Africa,Land
46,SWAZILAND,Mahamba,South Africa,Land
47,SWAZILAND,Mananga,South Africa,Land
48,SWAZILAND,Nerston,South Africa,Land
49,SWAZILAND,Onverwacht,South Africa,Land
50,SWAZILAND,Oshoek,South Africa,Land
51,SWAZILAND,Waverley,South Africa,Land
52,ZIMBABWE,Beit Bridge,South Africa,Land
53,ZIMBABWE,Pafuri,South Africa,Land
54,SOUTH AFRICAN HARBOURS,Cape Town,South Africa,Land
55,SOUTH AFRICAN HARBOURS,Durban,South Africa,Land
56,SOUTH AFRICAN HARBOURS,East London,South Africa,Land
57,SOUTH AFRICAN HARBOURS,Mossel Bay (Only for the movement of crew),South Africa,Land
58,SOUTH AFRICAN HARBOURS,Port Elizabeth,South Africa,Land
59,SOUTH AFRICAN HARBOURS,Port Ngqura,South Africa,Land
60,SOUTH AFRICAN HARBOURS,Richards Bay,South Africa,Land
61,SOUTH AFRICAN HARBOURS,Saldanha Bay (Only for the movement of crew),South Africa,Land
62,SOUTH AFRICAN AIRPORTS,Bloemfontein International,South Africa,Land
63,SOUTH AFRICAN AIRPORTS,Cape Town International,South Africa,Land
64,SOUTH AFRICAN AIRPORTS,Durban International,South Africa,Land
65,SOUTH AFRICAN AIRPORTS,Gateway International,South Africa,Land
66,SOUTH AFRICAN AIRPORTS,OR Tambo International Airport,South Africa,Land
67,SOUTH AFRICAN AIRPORTS,Lanseria International,South Africa,Land
68,SOUTH AFRICAN AIRPORTS,Kruger Mpumalanga International Airport,South Africa,Land
69,SOUTH AFRICAN AIRPORTS,Pilanesberg,South Africa,Land
70,SOUTH AFRICAN AIRPORTS,Port Elizabeth,South Africa,Land
71,SOUTH AFRICAN AIRPORTS,Upington,South Africa,Land
72,SOUTH AFRICAN AIRPORTS,,South Africa,Land
